Capacity	Speed	FixedCost	VarCost	Vehicle
50	50	240	1

Depot	X	Y	delTime	delCost
DC	159	159	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	193	14	4	50	0.25	10	0.08
2	261	186	4	50	0.25	10	0.08
3	126	195	4.8	50	0.25	10	0.08
4	92	224	1.8	50	0.25	10	0.08
5	275	206	4.8	50	0.25	10	0.08
6	139	200	0.8	50	0.25	10	0.08
7	151	145	5.6	50	0.25	10	0.08
8	179	150	7.6	50	0.25	10	0.08
9	164	193	9	50	0.25	10	0.08
10	151	173	4.8	50	0.25	10	0.08
11	176	161	3.8	50	0.25	10	0.08
12	153	185	0.4	50	0.25	10	0.08
13	130	215	4	50	0.25	10	0.08
14	9	202	8.4	50	0.25	10	0.08
15	198	128	9.8	50	0.25	10	0.08
16	51	51	3.6	50	0.25	10	0.08
17	146	241	6	50	0.25	10	0.08
18	133	250	9.6	50	0.25	10	0.08
19	139	202	9.8	50	0.25	10	0.08
20	239	25	4.8	50	0.25	10	0.08
21	185	244	3.8	50	0.25	10	0.08
22	192	97	10	50	0.25	10	0.08
23	158	89	8.4	50	0.25	10	0.08
24	88	116	5.8	50	0.25	10	0.08
25	196	20	2.8	50	0.25	10	0.08
26	129	159	1.4	50	0.25	10	0.08
27	120	232	3.4	50	0.25	10	0.08
28	255	116	6.8	50	0.25	10	0.08
29	217	99	9.4	50	0.25	10	0.08
30	177	109	1	50	0.25	10	0.08
31	179	45	2.4	50	0.25	10	0.08
32	152	149	5.2	50	0.25	10	0.08
33	144	222	7.8	50	0.25	10	0.08
34	83	68	4.8	50	0.25	10	0.08
35	26	145	2.2	50	0.25	10	0.08
36	210	33	3.6	50	0.25	10	0.08
37	133	78	2.8	50	0.25	10	0.08
38	254	223	5.6	50	0.25	10	0.08
39	192	142	4	50	0.25	10	0.08
-1
