Capacity	Speed	FixedCost	VarCost	Vehicle
50	50	240	1

Depot	X	Y	delTime	delCost
DC	79	79	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	140	80	2	50	0.25	10	0.08
2	95	154	6.2	50	0.25	10	0.08
3	33	38	0.2	50	0.25	10	0.08
4	87	135	4.8	50	0.25	10	0.08
5	99	107	7.2	50	0.25	10	0.08
6	78	147	1.6	50	0.25	10	0.08
7	32	21	5.8	50	0.25	10	0.08
8	15	75	3	50	0.25	10	0.08
9	77	89	9.8	50	0.25	10	0.08
10	84	96	6.6	50	0.25	10	0.08
11	49	144	7.6	50	0.25	10	0.08
12	59	72	3	50	0.25	10	0.08
13	63	79	2	50	0.25	10	0.08
14	99	87	0.2	50	0.25	10	0.08
15	112	40	7	50	0.25	10	0.08
16	79	74	7.4	50	0.25	10	0.08
17	76	79	2.4	50	0.25	10	0.08
18	49	109	5.6	50	0.25	10	0.08
19	112	14	4.2	50	0.25	10	0.08
20	40	57	7.2	50	0.25	10	0.08
21	56	19	8.4	50	0.25	10	0.08
22	50	82	1	50	0.25	10	0.08
23	74	75	3.4	50	0.25	10	0.08
24	101	65	8.6	50	0.25	10	0.08
25	105	36	7.8	50	0.25	10	0.08
26	66	120	3.4	50	0.25	10	0.08
27	70	76	3	50	0.25	10	0.08
28	102	113	2	50	0.25	10	0.08
29	92	8	1	50	0.25	10	0.08
30	104	56	8.6	50	0.25	10	0.08
31	33	119	7.2	50	0.25	10	0.08
32	25	87	8	50	0.25	10	0.08
33	139	129	5	50	0.25	10	0.08
34	109	85	1.2	50	0.25	10	0.08
35	94	73	5.8	50	0.25	10	0.08
36	138	108	3.4	50	0.25	10	0.08
37	73	111	0.8	50	0.25	10	0.08
38	64	19	5.4	50	0.25	10	0.08
39	8	44	9.2	50	0.25	10	0.08
40	45	63	2.8	50	0.25	10	0.08
41	55	97	5.2	50	0.25	10	0.08
42	75	90	2	50	0.25	10	0.08
43	102	77	8.8	50	0.25	10	0.08
44	66	75	2.4	50	0.25	10	0.08
45	87	62	5.6	50	0.25	10	0.08
-1
